BLKID	POPN_TOTAL	POPN_WHITE	POPN_BLACK	POPN_NATIV	POPN_ASIAN	POPN_OTHER	BORONAME
"360850170051024"	"29"	"29"	"0"	"0"	"0"	"0"	Staten Island
"360850291021024"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850040001025"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850112021025"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850128051025"	"69"	"69"	"0"	"0"	"0"	"0"	Staten Island
"360850176001025"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850208041025"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850128051026"	"50"	"48"	"2"	"0"	"0"	"0"	Staten Island
"360850169011026"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850170051026"	"107"	"88"	"0"	"0"	"17"	"2"	Staten Island
"360850208041026"	"20"	"20"	"0"	"0"	"0"	"0"	Staten Island
"360850251001026"	"12"	"12"	"0"	"0"	"0"	"0"	Staten Island
"360850020021027"	"102"	"52"	"12"	"2"	"15"	"21"	Staten Island
"360850040001027"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850112021027"	"21"	"21"	"0"	"0"	"0"	"0"	Staten Island
"360850189011027"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850198004038"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850198004040"	"129"	"117"	"0"	"0"	"5"	"7"	Staten Island
"360850198004043"	"100"	"99"	"0"	"0"	"1"	"0"	Staten Island
"360850198004048"	"28"	"27"	"0"	"0"	"0"	"1"	Staten Island
"360850105005001"	"222"	"60"	"80"	"0"	"14"	"68"	Staten Island
"360850213005001"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850040005002"	"15"	"2"	"9"	"0"	"0"	"4"	Staten Island
"360850151005002"	"81"	"76"	"0"	"0"	"3"	"2"	Staten Island
"360850040005003"	"83"	"24"	"32"	"0"	"16"	"11"	Staten Island
"360850138005003"	"96"	"91"	"0"	"0"	"0"	"5"	Staten Island
"360850151005003"	"104"	"100"	"0"	"0"	"4"	"0"	Staten Island
"360850156015003"	"70"	"65"	"0"	"0"	"2"	"3"	Staten Island
"360850138005004"	"138"	"134"	"0"	"1"	"0"	"3"	Staten Island
"360850251001029"	"39"	"36"	"2"	"0"	"0"	"1"	Staten Island
"360850070001031"	"53"	"50"	"2"	"0"	"1"	"0"	Staten Island
"360850189011031"	"86"	"67"	"0"	"0"	"19"	"0"	Staten Island
"360850170051032"	"108"	"101"	"0"	"5"	"2"	"0"	Staten Island
"360850189011032"	"1"	"1"	"0"	"0"	"0"	"0"	Staten Island
"360850170051033"	"137"	"124"	"1"	"1"	"8"	"3"	Staten Island
"360850291021033"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850176001034"	"30"	"30"	"0"	"0"	"0"	"0"	Staten Island
"360850170051039"	"47"	"39"	"3"	"0"	"0"	"5"	Staten Island
"360850170051040"	"69"	"55"	"0"	"0"	"10"	"4"	Staten Island
"360850170051041"	"90"	"82"	"0"	"0"	"7"	"1"	Staten Island
"360850170051043"	"11"	"10"	"0"	"0"	"0"	"1"	Staten Island
"360850170051046"	"81"	"73"	"0"	"0"	"0"	"8"	Staten Island
"360850170051049"	"7"	"7"	"0"	"0"	"0"	"0"	Staten Island
"360850170051051"	"50"	"50"	"0"	"0"	"0"	"0"	Staten Island
"360850170051052"	"35"	"35"	"0"	"0"	"0"	"0"	Staten Island
"360850170051053"	"60"	"45"	"0"	"0"	"12"	"3"	Staten Island
"360850291021074"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850291021076"	"54"	"51"	"0"	"0"	"0"	"3"	Staten Island
"360850291021085"	"38"	"37"	"1"	"0"	"0"	"0"	Staten Island
"360850291021090"	"0"	"0"	"0"	"0"	"0"	"0"	Staten Island
"360850291021091"	"83"	"79"	"0"	"0"	"0"	"4"	Staten Island
"360850291021092"	"25"	"24"	"0"	"0"	"1"	"0"	Staten Island
