INCIDENT_D	BORONAME	NUM_VICTIM	PRIMARY_MO	ID	WEAPON	LIGHT_DARK	YEAR
2003/05/03	Brooklyn	"1"	DISPUTE	"569"	gun		"2003"
2003/05/03	Manhattan	"1"	ROBBERY/BURGLARY	"570"	knife		"2003"
2003/05/04	Brooklyn	"1"	DRUGS	"572"	gun		"2003"
2003/04/13	Manhattan	"1"	DISPUTE	"573"	knife		"2003"
2003/05/04	Queens	"1"	DISPUTE	"574"	gun		"2003"
2003/05/07	Brooklyn	"1"	DRUGS	"575"	gun		"2003"
2003/04/11	Queens	"1"	DISPUTE	"576"	knife		"2003"
2003/05/09	Manhattan	"1"	DISPUTE	"577"	gun		"2003"
2003/04/15	Brooklyn	"1"	DRUGS	"578"	gun		"2003"
2003/05/10	Manhattan	"1"	DRUGS	"579"	gun		"2003"
2003/05/10	Brooklyn	"1"	SEX	"580"	blunt_instrument		"2003"
2003/05/11	Manhattan	"1"	REVENGE	"581"	gun		"2003"
2003/02/28	Brooklyn	"1"	DOMESTIC	"584"	knife		"2003"
2003/05/14	Manhattan	"1"	DISPUTE	"585"	knife		"2003"
2003/05/12	Manhattan	"1"	DRUGS	"586"	knife		"2003"
2003/02/28	Brooklyn	"1"	DOMESTIC	"587"			"2003"
2003/05/19	Brooklyn	"1"	DISPUTE	"588"	knife		"2003"
2003/04/26	Brooklyn	"3"	DISPUTE	"590"	gun		"2003"
2003/05/17	Queens	"1"	DISPUTE	"591"	gun		"2003"
2003/04/26	Brooklyn	"1"	DISPUTE	"592"	gun		"2003"
2003/04/28	Brooklyn	"1"	UNKNOWN	"593"	gun		"2003"
2003/05/24	Brooklyn	"1"	DISPUTE	"594"	knife		"2003"
2003/05/17	Brooklyn	"1"	DRUGS	"596"	knife		"2003"
2003/05/17	Brooklyn	"1"	DISPUTE	"597"	gun		"2003"
2003/05/22	Brooklyn	"1"	DOMESTIC	"598"	other		"2003"
2003/05/24	Queens	"1"	REVENGE	"599"	gun		"2003"
