ID	NAME	ONEWAY	TYPE
"958"	Main St		residential
"960"	Road 6		residential
"961"	Meeker Ave		residential
"962"	Amherst St		residential
"963"			footway
"964"			residential
"965"	Mc Guinness Blvd		residential
"966"	E 26th St		residential
"967"	Jerome Ave		residential
"968"	E 26th St		residential
"969"	E 99th St		residential
"970"	Paidge Ave		residential
"971"	Union Ave		residential
"972"			footway
"973"	Withers St		residential
"974"	Bay Ct		residential
"975"	Jerome Ave		residential
"976"			footway
"977"	Mc Guinness Blvd		secondary
"978"	St Nicholas Ave		residential
"979"	Adam C Powell Blvd		residential
"980"			footway
"981"	Olean St		residential
"982"	West 145th St		residential
"983"			footway
"984"	W 144th St		residential
"985"	7th Ave		residential
"986"	Hewes St		residential
"987"	E 103rd St		residential
"988"	Eckford St		residential
"989"	45th Rd		residential
"990"	Lenox Ave		residential
"991"	E 71 St		residential
"992"	Amersfort Pl		residential
"993"			footway
"994"			footway
"995"			footway
"996"	Bayard St		residential
"997"	Eagle St		residential
"998"			footway
"999"	Vernon Ave		residential
"1000"	Dearborn Ct		residential
"1001"	Montrose Ave		residential
"1002"	Richardson St		residential
"1003"			footway
"1004"	44th Ave		residential
"1005"	Kenilworth Pl		residential
"1006"	45th Ave		residential
"1007"	10th St		residential
"1008"	9th St		residential
"1009"	St Nicholas Ter		residential
"1010"	West 135th St		footway
"1011"	Willoughby Ave		residential
"1012"	Walton St		residential
"1013"	Frost St		residential
"1014"	West Rd		residential
"1015"			footway
