OBJECTID	ID	NAME	ALT_NAME	CROSS_ST	LONG_NAME	LABEL	BOROUGH	NGHBHD	ROUTES	TRANSFERS	COLOR	EXPRESS	CLOSED
132	230.0000000000	Broadway Jct	E New York	Fulton St	"Broadway Jct / E New York (A,C) Brooklyn"	"Broadway Jct / E New York (A,C)"	Brooklyn		"A,C"	"A,C,J,L,Z"	BLUE	express	
133	455.0000000000	Bushwick Ave	Aberdeen St	Aberdeen St	Bushwick Ave / Aberdeen St (L) Brooklyn	Bushwick Ave / Aberdeen St (L)	Brooklyn		L	L	GREY		
134	340.0000000000	Carroll St		Smith St	"Carroll St (F,G) Brooklyn"	"Carroll St (F,G)"	Brooklyn		"F,G"	"F,G"	ORANGE-LIME		
135	332.0000000000	Central Ave		Myrtle Ave	Central Ave (M) Brooklyn	Central Ave (M)	Brooklyn		M	M	BROWN		
136	318.0000000000	Chauncey St		Broadway	"Chauncey St (J,Z) Brooklyn"	"Chauncey St (J,Z)"	Brooklyn		"J,Z"	"J,Z"	BROWN		
137	346.0000000000	Church Ave		McDonald Ave	Church Ave (F) Brooklyn	Church Ave (F)	Brooklyn		F	F	ORANGE		
138	387.0000000000	Church Ave		E 18th St	"Church Ave (B,Q) Brooklyn"	"Church Ave (B,Q)"	Brooklyn		"B,Q"	"B,Q"	ORANGE-YELLOW	express	
139	95.0000000000	Church Ave		Nostrand Ave	"Church Ave (2,5) Brooklyn"	"Church Ave (2,5)"	Brooklyn		"2,5"	"2,5"	RED-GREEN		
140	73.0000000000	Clark St		Henry St	"Clark St (2,3) Brooklyn"	"Clark St (2,3)"	Brooklyn		"2,3"	"2,3"	RED	express	
141	281.0000000000	Classon Ave		Lafayette Ave	Classon Ave (G) Brooklyn	Classon Ave (G)	Brooklyn		G	G	LIME		
142	322.0000000000	Cleveland St		Fulton St	Cleveland St (J) Brooklyn	Cleveland St (J)	Brooklyn		J	J	BROWN		
143	280.0000000000	Clinton Ave	Washington Ave	Lafayette Ave	Clinton Ave / Washington Ave (G) Brooklyn	Clinton Ave / Washington Ave (G)	Brooklyn		G	G	LIME		
144	223.0000000000	Clinton Ave	Washington Ave	Fulton St	Clinton Ave / Washington Ave (C) Brooklyn	Clinton Ave / Washington Ave (C)	Brooklyn		C	C	BLUE		
145	389.0000000000	Cortelyou Rd		E 16th St	Cortelyou Rd (Q) Brooklyn	Cortelyou Rd (Q)	Brooklyn		Q	Q	YELLOW		
146	379.0000000000	Court St	Borough Hall	Montague St	"Court St / Borough Hall (M,R) Brooklyn"	"Court St / Borough Hall (M,R)"	Brooklyn		"M,R"	"M,R,2,3,4,5"	BROWN-YELLOW		
147	324.0000000000	Crescent St		Fulton St	"Crescent St (J,Z) Brooklyn"	"Crescent St (J,Z)"	Brooklyn		"J,Z"	"J,Z"	BROWN	express	
