OBJECTID,Admin_type,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
"133",Prefecture-level city,Jingyang District,Deyang,德阳市,CN051040,Sichuan Province,四川省,CN051,China,中国,CN
"134",Prefecture-level city,Qingyang District,Chengdu,成都市,CN051020,Sichuan Province,四川省,CN051,China,中国,CN
"135",Autonomous prefecture,"Barkam Town, Barkam County",Ngawa Tibetan and Qiang Autonomous Prefecture,阿坝藏族羌族自治州,CN051150,Sichuan Province,四川省,CN051,China,中国,CN
"136",Prefecture-level city,Hanbin District,Ankang,安康市,CN061010,Shaanxi Province,陕西省,CN061,China,中国,CN
"137",Prefecture-level city,Maojian District,Shiyan,十堰市,CN042090,Hubei Province,湖北省,CN042,China,中国,CN
"138",Prefecture-level city,Xiangcheng District,Xiangyang,襄阳市,CN042130,Hubei Province,湖北省,CN042,China,中国,CN
"139",Prefecture-level city,Xiling District,Yichang,宜昌市,CN042170,Hubei Province,湖北省,CN042,China,中国,CN
"140",Autonomous prefecture,Enshi City,Enshi Tujia and Miao Autonomous Prefecture,恩施土家族苗族自治州,CN042010,Hubei Province,湖北省,CN042,China,中国,CN
"141",Prefecture-level city,Yongding District,Zhangjiajie,张家界市,CN043130,Hunan Province,湖南省,CN043,China,中国,CN
"142",Autonomous prefecture,Jishou City,Xiangxi Tujia and Miao Autonomous Prefecture,湘西土家族苗族自治州,CN043090,Hunan Province,湖南省,CN043,China,中国,CN
"143",Prefecture-level city,Bijiang District,Tongren,铜仁市,CN052080,Guizhou Province,贵州省,CN052,China,中国,CN
"144",Municipality,,Chongqing Municipality,重庆市,CN050010,Chongqing Municipality,重庆市,CN050,China,中国,CN
"145",Prefecture-level city,Hecheng District,Huaihua,怀化市,CN043050,Hunan Province,湖南省,CN043,China,中国,CN
"146",Prefecture-level city,Heshan District,Yiyang,益阳市,CN043100,Hunan Province,湖南省,CN043,China,中国,CN
"147",Prefecture-level city,Louxing District,Loudi,娄底市,CN043060,Hunan Province,湖南省,CN043,China,中国,CN
"148",Prefecture-level city,Wuling District,Changde,常德市,CN043010,Hunan Province,湖南省,CN043,China,中国,CN
"149",Prefecture-level city,Shashi District,Jingzhou,荆州市,CN042060,Hubei Province,湖北省,CN042,China,中国,CN
"150",Prefecture-level city,Dongbao District,Jingmen,荆门市,CN042050,Hubei Province,湖北省,CN042,China,中国,CN
"151",Prefecture-level city,Yueyanglou District,Yueyang,岳阳市,CN043120,Hunan Province,湖南省,CN043,China,中国,CN
"152",Prefecture-level city,Yuelu District,Changsha,长沙市,CN043020,Hunan Province,湖南省,CN043,China,中国,CN
"153",Prefecture-level city,Yuetang District,Xiangtan,湘潭市,CN043080,Hunan Province,湖南省,CN043,China,中国,CN
"154",Prefecture-level city,Tianyuan District,Zhuzhou,株州市,CN043140,Hunan Province,湖南省,CN043,China,中国,CN
"155",Prefecture-level city,Zhengxiang District,Hengyang,衡阳市,CN043040,Hunan Province,湖南省,CN043,China,中国,CN
"156",Prefecture-level city,Daxiang District,Shaoyang,邵阳市,CN043070,Hunan Province,湖南省,CN043,China,中国,CN
"157",Prefecture-level city,Lengshuitan District,Yongzhou,永州市,CN043110,Hunan Province,湖南省,CN043,China,中国,CN
"158",Prefecture-level city,Zhenjiang District,Shaoguan,韶关市,CN044140,Guangdong Province,广东省,CN044,China,中国,CN
"159",Prefecture-level city,Huicheng District,Huizhou,惠州市,CN044060,Guangdong Province,广东省,CN044,China,中国,CN
"160",Prefecture-level city,Chancheng District,Foshan,佛山市,CN044030,Guangdong Province,广东省,CN044,China,中国,CN
"161",Prefecture-level city,Yuncheng District,Yunfu,云浮市,CN044170,Guangdong Province,广东省,CN044,China,中国,CN
"162",Prefecture-level city,Futian District,Shenzhen,深圳市,CN044150,Guangdong Province,广东省,CN044,China,中国,CN
"163",Prefecture-level city,Cheng District,Shanwei,汕尾市,CN044130,Guangdong Province,广东省,CN044,China,中国,CN
"164",Prefecture-level city,Yuancheng District,Heyuan,河源市,CN044050,Guangdong Province,广东省,CN044,China,中国,CN
